country_code,short_name,table_name,long_name,2_alpha_code,currency_unit,special_notes,region,income_group,wb_2_code,national_accounts_base_year,national_accounts_reference_year,sna_price_valuation,lending_category,other_groups,system_of_national_accounts,alternative_conversion_factor,ppp_survey_year,balance_of_payments_manual_in_use,external_debt_reporting_status,system_of_trade,government_accounting_concept,imf_data_dissemination_standard,latest_population_census,latest_household_survey,source_of_most_recent_income_and_expenditure_data,vital_registration_complete,latest_agricultural_census,latest_industrial_data,latest_trade_data,latest_water_withdrawal_data
AFG,,Afghanistan,,,,None,,,,,,,,,,,,,,,,,,,,,,,,
AFG_Central_AGG001,,"Afghanistan, Central",,,,"Central region is comprised of the following first administrative level units: Kabul, Kapisa, Parwan, Wardak, Logar, Panjshir.",,,,,,,,,,,,,,,,,,,,,,,,
AFG_East_AGG002,,"Afghanistan, East",,,,"East region is comprised of the following first administrative level units:  Nangarhar, Kunar, Laghman, Nuristan.",,,,,,,,,,,,,,,,,,,,,,,,
AFG_North_AGG007_6,,"Afghanistan, North",,,,"North region is comprised of the following first administrative level units: Samangan, Balkh, Jawzjan, Sar-I-Pul, Faryab. 2010",,,,,,,,,,,,,,,,,,,,,,,,
AFG_North_East_AGG003,,"Afghanistan, North East",,,,"North-East region is comprised of the following first administrative level units: Badakhshan, Takhar, Baghlan, Kunduz.",,,,,,,,,,,,,,,,,,,,,,,,
AFG_South_AGG007_7,,"Afghanistan, South",,,,"South region is comprised of the following first administrative level units: Ghazni, Paktika, Paktya, Khost.",,,,,,,,,,,,,,,,,,,,,,,,
AFG_South_West_AGG006,,"Afghanistan, South West",,,,"South-West region is comprised of the following first administrative level units: Nimroz, Helmand, Kandahar, Zabul, Uruzgan.",,,,,,,,,,,,,,,,,,,,,,,,
AFG_West_AGG007,,"Afghanistan, West",,,,"West region is comprised of the following first administrative level units:  Badghis, Herat, Farah.",,,,,,,,,,,,,,,,,,,,,,,,
AFG_West_Central_AGG132,,"Afghanistan, West-Central",,,,"West Central region is comprised of the following first administrative level units: Ghor, Bamyan, Daikundi.",,,,,,,,,,,,,,,,,,,,,,,,
ALB,,Albania,,,,None,,,,,,,,,,,,,,,,,,,,,,,,
ALB_Central_AGG008,,"Albania, Central",,,,"The Central region is comprised of the following first administrative level units: Devoll, Kolonjë, Pogradec, Mirditë, Pukë, Malësi e Madhe, Mat, Kuçovë, Skrapar, Krujë, Peqin, Gjirokastër, Përmet, Tepelenë, Shkodër, Elbasan, Berat, Korçë.",,,,,,,,,,,,,,,,,,,,,,,,
ALB_Coastal_AGG008.5,,"Albania, Coastal",,,,"The Coastal region is comprised of the following first administrative level units: Lezhë, Kurbin, Kavajë, Mallakastër, Lushnjë, Delvinë, Sarandë, Durrës, Fier, Vlorë.",,,,,,,,,,,,,,,,,,,,,,,,
ALB_Mountain_AGG008.51,,"Albania, Mountain",,,,"The Mountan region is comprised of the following first administrative level units: Kukës, Has, Tropojë, Bulqizë, Dibër, Gramsh, Librazhd.",,,,,,,,,,,,,,,,,,,,,,,,
ALB_Tirana_AL.TI_338_ALB034,,"Albania, Tirana",,,,Tirana is comprised of the metropolitan area of Tirana.,,,,,,,,,,,,,,,,,,,,,,,,
ARM,,Armenia,,,,None,,,,,,,,,,,,,,,,,,,,,,,,
ARM_Aragatsotn_AM.AG_453_ARM001,,"Armenia, Aragatsotn",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
ARM_Ararat_AM.AR_454_ARM002,,"Armenia, Ararat",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
ARM_Armavir_AM.AV_455_ARM003,,"Armenia, Armavir",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
ARM_Gergharkunik_AM.GR_456_ARM004,,"Armenia, Gergharkunik",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
ARM_Kotayk_AM.KT_457_ARM005,,"Armenia, Kotayk",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
ARM_Lori_AM.LO_458_ARM006,,"Armenia, Lori",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
ARM_Shirak_AM.SH_460_ARM007,,"Armenia, Shirak",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
