countrycode,seriescode,year,description
SVK,SI.POV.NAHC,YR2011,At-risk-of-poverty rate reported. Poverty line defined as 60% of the median disposable equivalised income. Source: Sight of the Regions of Slovakia 2008-2012 (Statistical Office of the Slovak Republic)
SVK_Banska_Bystrica_SK.BB_2667_SVK001,SI.POV.NAHC,YR2011,At-risk-of-poverty rate reported. Poverty line defined as 60% of the median disposable equivalised income. Source: Sight of the Regions of Slovakia 2008-2012 (Statistical Office of the Slovak Republic)
SVK_Bratislava_SK.BR_2667.55_SVK002,SI.POV.NAHC,YR2011,At-risk-of-poverty rate reported. Poverty line defined as 60% of the median disposable equivalised income. Source: Sight of the Regions of Slovakia 2008-2012 (Statistical Office of the Slovak Republic)
SVK_Kosice_SK.KO_2669_SVK003,SI.POV.NAHC,YR2011,At-risk-of-poverty rate reported. Poverty line defined as 60% of the median disposable equivalised income. Source: Sight of the Regions of Slovakia 2008-2012 (Statistical Office of the Slovak Republic)
SVK_Nitra_SK.NI_2670_SVK004,SI.POV.NAHC,YR2011,At-risk-of-poverty rate reported. Poverty line defined as 60% of the median disposable equivalised income. Source: Sight of the Regions of Slovakia 2008-2012 (Statistical Office of the Slovak Republic)
SVK_Presov_SK.PR_2671_SVK005,SI.POV.NAHC,YR2011,At-risk-of-poverty rate reported. Poverty line defined as 60% of the median disposable equivalised income. Source: Sight of the Regions of Slovakia 2008-2012 (Statistical Office of the Slovak Republic)
SVK_Trencin_SK.TR_2672_SVK006,SI.POV.NAHC,YR2011,At-risk-of-poverty rate reported. Poverty line defined as 60% of the median disposable equivalised income. Source: Sight of the Regions of Slovakia 2008-2012 (Statistical Office of the Slovak Republic)
SVK_Trnava_SK.TN_2673_SVK007,SI.POV.NAHC,YR2011,At-risk-of-poverty rate reported. Poverty line defined as 60% of the median disposable equivalised income. Source: Sight of the Regions of Slovakia 2008-2012 (Statistical Office of the Slovak Republic)
SVK_Zilna_SK.ZI_2674_SVK008,SI.POV.NAHC,YR2011,At-risk-of-poverty rate reported. Poverty line defined as 60% of the median disposable equivalised income. Source: Sight of the Regions of Slovakia 2008-2012 (Statistical Office of the Slovak Republic)
GEO,SI.POV.NAHC,YR2012,"Source: 2014 Georgia Poverty Assessment (World Bank, forthcoming)"
GEO_Abkhazia_Aut_Rep_GE.AA_1296_GEO001,SI.POV.NAHC,YR2012,"Source: 2014 Georgia Poverty Assessment (World Bank, forthcoming)"
GEO_Tbilisi_GE.TB_1307_GEO012,SI.POV.NAHC,YR2012,"Source: 2014 Georgia Poverty Assessment (World Bank, forthcoming)"
GEO_Adjara_Aut_Rep_GE.AR_1297_GEO002,SI.POV.NAHC,YR2012,"Source: 2014 Georgia Poverty Assessment (World Bank, forthcoming)"
GEO_Kakheti_GE.KA_1300_GEO005,SI.POV.NAHC,YR2012,"Source: 2014 Georgia Poverty Assessment (World Bank, forthcoming)"
GEO_Kvemo_Kartli_GE.KK_1301_GEO006,SI.POV.NAHC,YR2012,"Source: 2014 Georgia Poverty Assessment (World Bank, forthcoming)"
GEO_Samergelo_Zemo_Svaneti_GE.SZ_1304_GEO009,SI.POV.NAHC,YR2012,"Source: 2014 Georgia Poverty Assessment (World Bank, forthcoming)"
GEO_Shida_Kartli_GE.SD_1306_GEO011,SI.POV.NAHC,YR2012,"Source: 2014 Georgia Poverty Assessment (World Bank, forthcoming)"
VNM,SI.POV.NAHC,YR2010,"Source: 74910 Vietnam Poverty Assessment: Well Begun, Not Yet Done: Vietnam’s Remarkable Progress on Poverty Reduction and the Emerging Challenges , 2012, World Bank"
VNM,SI.POV.NAHC,YR2012,"Source: 74910 Vietnam Poverty Assessment: Well Begun, Not Yet Done: Vietnam’s Remarkable Progress on Poverty Reduction and the Emerging Challenges , 2012, World Bank"
VNM_Central_Highlands_AGG083_555,SI.POV.NAHC,YR2010,"Source: 74910 Vietnam Poverty Assessment: Well Begun, Not Yet Done: Vietnam’s Remarkable Progress on Poverty Reduction and the Emerging Challenges , 2012, World Bank"
VNM_Central_Highlands_AGG083_555,SI.POV.NAHC,YR2012,"Source: 74910 Vietnam Poverty Assessment: Well Begun, Not Yet Done: Vietnam’s Remarkable Progress on Poverty Reduction and the Emerging Challenges , 2012, World Bank"
VNM_Mekong_River_Delta_AGG076_555,SI.POV.NAHC,YR2010,"Source: 74910 Vietnam Poverty Assessment: Well Begun, Not Yet Done: Vietnam’s Remarkable Progress on Poverty Reduction and the Emerging Challenges , 2012, World Bank"
