User,Gender,Location,Date,Type,Label,Code,Platz,Etiqueta,Stamp,Flag
Usuario0,Male,Alemania,abril de 2017,Couple,5,0.0,playa los muertos,Turismo de sol y playa,"['', '', 'sol', '', '']",sol
Usuario1,Female,Canada,enero de 2012,Couple,4,1.0,bahia de matanchen,Turismo de sol y playa,"['', '', 'sol', '', '']",sol
Usuario2,Male,Centro,mayo de 2018,Business,5,2.0,bahia de matanchen,Turismo de sol y playa,"['', '', 'sol', '', '']",sol
Usuario3,Female,Centro,junio de 2017,Friends,3,3.0,bahia de matanchen,Turismo de sol y playa,"['', '', 'sol', '', '']",sol
Usuario4,Female,Centro,abril de 2019,Friends,5,4.0,bahia de matanchen,Turismo de sol y playa,"['', '', 'sol', '', '']",sol
Usuario5,Female,Centro,diciembre de 2012,Family,4,5.0,bahia de matanchen,Turismo de sol y playa,"['', '', 'sol', '', '']",sol
Usuario7,Male,Estados Unidos,diciembre de 2018,Couple,5,7.0,bahia de matanchen,Turismo de sol y playa,"['', '', 'sol', '', '']",sol
Usuario9,Male,Noreste,diciembre de 2014,Family,5,9.0,bahia de matanchen,Turismo de sol y playa,"['', '', 'sol', '', '']",sol
Usuario10,Male,Noroeste,agosto de 2017,Couple,3,10.0,bahia de matanchen,Turismo de sol y playa,"['', '', 'sol', '', '']",sol
Usuario12,Male,Occidente,diciembre de 2015,Family,5,12.0,bahia de matanchen,Turismo de sol y playa,"['', '', 'sol', '', '']",sol
Usuario13,Male,Occidente,octubre de 2015,Family,4,13.0,bahia de matanchen,Turismo de sol y playa,"['', '', 'sol', '', '']",sol
Usuario14,Male,Occidente,agosto de 2012,Family,4,14.0,bahia de matanchen,Turismo de sol y playa,"['', '', 'sol', '', '']",sol
Usuario15,Male,Occidente,marzo de 2016,Alone,5,15.0,bahia de matanchen,Turismo de sol y playa,"['', '', 'sol', '', '']",sol
Usuario16,Male,Occidente,febrero de 2017,Family,5,16.0,bahia de matanchen,Turismo de sol y playa,"['', '', 'sol', '', '']",sol
Usuario18,Male,Occidente,febrero de 2014,Family,5,18.0,bahia de matanchen,Turismo de sol y playa,"['', '', 'sol', '', '']",sol
Usuario19,Male,Occidente,mayo de 2012,Family,4,19.0,bahia de matanchen,Turismo de sol y playa,"['', '', 'sol', '', '']",sol
Usuario23,Male,Occidente,enero de 2019,Family,5,23.0,bahia de matanchen,Turismo de sol y playa,"['', '', 'sol', '', '']",sol
Usuario24,Male,Occidente,marzo de 2019,Couple,5,24.0,bahia de matanchen,Turismo de sol y playa,"['', '', 'sol', '', '']",sol
Usuario26,Female,Occidente,enero de 2019,Friends,5,26.0,bahia de matanchen,Turismo de sol y playa,"['', '', 'sol', '', '']",sol
Usuario27,Female,Occidente,abril de 2015,Family,5,27.0,bahia de matanchen,Turismo de sol y playa,"['', '', 'sol', '', '']",sol
Usuario28,Female,Occidente,julio de 2014,Family,4,28.0,bahia de matanchen,Turismo de sol y playa,"['', '', 'sol', '', '']",sol
Usuario30,Male,Canada,marzo de 2019,Couple,3,30.0,bucerias art walk,cultural|diversion,"['cultural', 'diversion']",cultural
Usuario31,Male,Canada,marzo de 2014,Friends,2,31.0,bucerias art walk,cultural|diversion,"['cultural', 'diversion']",diversion
Usuario32,Male,Canada,febrero de 2017,Friends,4,32.0,bucerias art walk,cultural|diversion,"['cultural', 'diversion']",cultural
Usuario34,Male,Canada,marzo de 2017,Couple,5,34.0,bucerias art walk,cultural|diversion,"['cultural', 'diversion']",diversion
Usuario35,Male,Canada,marzo de 2019,Couple,5,35.0,bucerias art walk,cultural|diversion,"['cultural', 'diversion']",cultural
Usuario36,Male,Canada,febrero de 2015,Couple,5,36.0,bucerias art walk,cultural|diversion,"['cultural', 'diversion']",diversion
Usuario37,Male,Canada,enero de 2015,Couple,5,37.0,bucerias art walk,cultural|diversion,"['cultural', 'diversion']",cultural
Usuario38,Male,Canada,marzo de 2017,Couple,3,38.0,bucerias art walk,cultural|diversion,"['cultural', 'diversion']",diversion
Usuario40,Male,Canada,enero de 2017,Family,5,40.0,bucerias art walk,cultural|diversion,"['cultural', 'diversion']",cultural
