id_producto,nombre_producto,precio_producto,inventario_producto,proveedor_producto
1661742265-31,Audifonos in-ear inalambricos JBL Wave 100TWS ivory,205000,(2 disponibles),MASTRONICS COLOMBIA
1661743734-532,Audifono Aiwa Awk11b Bluetooth Diadema Negro Hasta 18 Horas,89900,(3 disponibles),null
1661745702-1216,Caja De Carga Apple AirPods Original,235000,(3 disponibles),null
1661744241-709,Almohadillas Reemplazo Para Audifonos Bose 700 - Nc700,70000,(4 disponibles),null
1661745212-1044,Audifonos Auriculares Inalambricos  Pro 6s,59900,(6 disponibles),null
1661746703-1569,Funda Estuche Protector Para Audifonos Xiaomi Redmi Airdots,15000,(2 disponibles),null
1661742501-110,Audifonos Lenovo Bluetooth Con Microfono Cancelacion Ruido.,110000,(3 disponibles),null
1661745545-1160,Audifonos Manoslibres Microfono Elite Earphone Igoma Gh-24,29990,null,null
1661743029-288,Audifonos Bluetooh Parlante Manos Libres M6 In-ear Powerbank,90155,(31 disponibles),null
1661744433-777,Audifonos Bluetooth Xiaomi Buds 3t Pro Cancelacion De Ruido,477000,(13 disponibles),null
1661742713-181,Audifono Manos Libres Bluetooth Microfono V8 Tipo Legend,56990,(82 disponibles),null
1661742776-203,Auriculares Inalambricos Con Bluetooth Lenovo He05,64505,(5 disponibles),null
1661747729-1932,Xg8 Auriculares Deportivos Inalambricos Bluetooth 5.0-rosa,43195,(100 disponibles),null
1661745246-1056,Auriculares M18 Bluetooth 5.1 Audifonos Power Bank Linterna,80655,(13 disponibles),null
1661747862-1976,Audifonos Conduccion Osea Aftershockz Aeropex,719900,(4 disponibles),null
1661744721-874,Auriculares/ Audifonos- Bluetooth E7s Manos Libres.,43000,(6 disponibles),null
1661747745-1938,Audifonos Bluetooth,68000,null,null
1661745436-1122,V8 Audifonos Bluetooth Auriculares 8 Horas Manos Libres,56905,(39 disponibles),null
1661745123-1012,Audifonos Manos Libres Bluetooth Deportivos Magneticos Inear,89900,(4 disponibles),null
1661745587-1175,Audifonos Lenovo Lp5 Livepods Originales, Sellados, Gris,93900,(5 disponibles),null
1661746852-1621,Auriculares Internos Inalambricos - Skullcandy,408070,(5 disponibles),null
1661744121-667,Audifonos/auricular Bluetooth F9-5 Tws Earbuds - Power Bank,55900,(16 disponibles),null
1661746167-1380,Audifonos Bose Sport Open Earbuds,1399000,(2 disponibles),null
1661746439-1476,Audifonos Inalambricos De Estudio Motorola Escape 220 24h,133800,(92 disponibles),null
1661743110-317,Audifono De Larga Duracion Negocios - Conductor Inalambrico,59990,(99 disponibles),null
1661745414-1114,Audifonos in-ear Skullcandy Ink'd 2 negro,191550,null,SIMARO.CO
1661747507-1854,Audifonos Inalabricos Hyperx Stinger Core Wireless Ps4 Ps5,362900,null,null
1661747896-1988,Audifonos Jbl T500 Bluetooth Blanco,149900,(4 disponibles),null
1661747219-1751,Auriculares Inalambricos Huawei Freebuds 3, Bluetooth,911061,(10 disponibles),null
1661747367-1804,Audifonos Inalambricos Motorola Moto Xt220 Plegable 24h Bt,146500,(3 disponibles),null
1661747176-1735,Auriculares Bluetooth Bt12, Impermeable, Para Cascos De Moto,135000,(45 disponibles),null
1661745034-982,Audifonos in-ear inalambricos JBL Reflect Mini NC negro,759990,(12 disponibles),PUELLOETELVINA20220327211457
1661746037-1334,Almohadilla Bose  Oe2 Oe2i Soundtrue,43130,(5 disponibles),null
1661745397-1108,Audifono Amplificador Recargable Sonido Oido Ayuda Auditiva,157990,(3 disponibles),null
1661747701-1922,Tozo A1 Mini Auriculares Inalambricos Bluetooth 5.0,169900,(2 disponibles),null
1661742871-234,Audifonos Lenovo Ht05 Tws Auriculares Bluetooth Inalambricos,89900,(10 disponibles),null
1661743985-619,Auriculares De Conduccion osea Bt 5.2 No En El Oido Colgando,106861,(196 disponibles),null
1661743982-618,Audifonos Manos Libres  Inalambricos I12 Bluetooth Blancos,45000,(469 disponibles),null
1661743125-322,Audifonos Inalambricos AirPods Pro 18 Mini,74900,(13 disponibles),null
1661743540-464,Audifonos Pro St-1 Compatible Android/iPhone Inalambricos,49990,(4 disponibles),null
1661747477-1843,New Bee Auricular Bluetooth V5.0 Auriculares Manos Libres In,133900,(12 disponibles),null
1661746216-1398,Mugo Auriculares Inalambricos Deportivos, Bluetooth 5.0 Co.,118990,(12 disponibles),null
1661744877-928,Audifonos Inalambricos Lenovo Thinkplus  Livepods Gm3,150000,(10 disponibles),null
1661746246-1408,Audifonos Bluetooth Nokia Comfort Earbuds Contra Agua,179900,(30 disponibles),null
1661743997-623,Modulo Bluetooth 5.2 Kz Az09 Az-09 Zsn Dq6 Zs10 Pro Zsx Zax,135900,(17 disponibles),null
1661747565-1874,Audifonos Lenovo Thinkplus Pods Xt85. Para Entrga Inm.tgamer,160000,(6 disponibles),null
1661742971-269,Audifonos In-ear Inalambricos Samsung Galaxy Buds 2 Graphite,298000,(29 disponibles),null
1661747921-1997,Combo Audifonos Wefone Ff216+cargador 2 Puertos Wefone 2.4a,100000,(5 disponibles),null
1661746913-1643,Audifonos Diadema Bluetooth Micro Sd Manos Libres Luces Led,51900,(99 disponibles),null
1661743962-612,Audifonos Xtech Xth-700  Inalambricos Bluetooth Tws Negro,89900,(8 disponibles),null
1661747979-2017,Audifonos Inalambricos M12 Gama Alta + Power Bank,72000,(100 disponibles),null
1661747450-1833,Monitor De Composicion Corporal Tanita Rd-953 Innerscan Pro,1907900,(12 disponibles),null
1661743352-399,Audifonos Bluetooth Deportivos Extra Bass Sonido Sd/mp3,44700,(7 disponibles),null
1661746653-1552,Audifonos gamer inalambricos PlayStation Pulse 3D negro,439900,(4 disponibles),WILTECHNO SASA
1661745328-1084,Audifonos Para Celular Bluetooth Sin Cables Oferta,79900,null,null
1661742806-213,Audifono Manos Libres V8 Conducir Bluetooth 5.0 Microfono,52155,(37 disponibles),null
1661743578-477,Audifonos Bluetooth F9-5 Version 5.0 100% Touch 2000mah,69900,(31 disponibles),null
1661746285-1422,Audifonos Bluetooth Spirit 2,119995,(49 disponibles),null
1661743099-313,Audifonos Beats Solo³ Wireless - Matte black,817700,null,SIMPLE ACCESORIOS
1661744311-733,Auriculares Audifonos Bluetooth Krono 400mah T20 5hor Tactil,89900,(14 disponibles),null
1661744363-752,Manos Libres Bluetooth V9 Audifono Para iPhone Y Android,56990,(7 disponibles),null
1661746363-1450,Audifono Recargable Mini Amplificador Ajustable Para Sordos,149900,(8 disponibles),null
1661746299-1427,Audifonos Bluetooth 4.1 Deportivos Inalambricos Universal,25000,(2 disponibles),null
