web-scraper-order,web-scraper-start-url,NombreAudifonos,NombreAudifonos-href,NombreProducto,PrecioProducto,VendedorProducto,UnidadesDisponiblesProducto
"1661381477-2","https://listado.mercadolibre.com.co/audifonos-inal%C3%A1mbricos#D[A:audifonos%20inal%C3%A1mbricos]","Audífonos Inalambricos I12 Bluetooth","https://articulo.mercadolibre.com.co/MCO-826090418-audifonos-inalambricos-i12-bluetooth-_JM?searchVariation=173855810362#searchVariation=173855810362&position=56&search_layout=stack&type=item&tracking_id=6557f8a7-b4a7-4a26-a928-b02cc38aa3ff","Audífonos Inalambricos I12 Bluetooth","28.900","null","(558 disponibles)"
"1661381541-25","https://listado.mercadolibre.com.co/audifonos-inal%C3%A1mbricos#D[A:audifonos%20inal%C3%A1mbricos]","Audífonos in-ear inalámbricos QCY T1C negro","https://www.mercadolibre.com.co/audifonos-in-ear-inalambricos-qcy-t1c-negro/p/MCO15285466#searchVariation=MCO15285466&position=32&search_layout=stack&type=product&tracking_id=6557f8a7-b4a7-4a26-a928-b02cc38aa3ff","Audífonos in-ear inalámbricos QCY T1C negro","69.900","RAKTORS","(18 disponibles)"
"1661381510-14","https://listado.mercadolibre.com.co/audifonos-inal%C3%A1mbricos#D[A:audifonos%20inal%C3%A1mbricos]","Audífonos in-ear inalámbricos JBL Wave 100TWS black","https://www.mercadolibre.com.co/audifonos-in-ear-inalambricos-jbl-wave-100tws-black/p/MCO18462585#searchVariation=MCO18462585&position=43&search_layout=stack&type=product&tracking_id=6557f8a7-b4a7-4a26-a928-b02cc38aa3ff","Audífonos in-ear inalámbricos JBL Wave 100TWS black","204.720","WONDERTECH SAS","(12 disponibles)"
"1661381535-23","https://listado.mercadolibre.com.co/audifonos-inal%C3%A1mbricos#D[A:audifonos%20inal%C3%A1mbricos]","Audífonos in-ear gamer inalámbricos Xiaomi Mi True Wireless Earbuds Basic 2S negro","https://www.mercadolibre.com.co/audifonos-in-ear-gamer-inalambricos-xiaomi-mi-true-wireless-earbuds-basic-2s-negro/p/MCO18592787#searchVariation=MCO18592787&position=34&search_layout=stack&type=product&tracking_id=6557f8a7-b4a7-4a26-a928-b02cc38aa3ff","Audífonos in-ear gamer inalámbricos Xiaomi Mi True Wireless Earbuds Basic 2S negro","97.990","WIKI ELECTRONIC","(88 disponibles)"
"1661381574-37","https://listado.mercadolibre.com.co/audifonos-inal%C3%A1mbricos#D[A:audifonos%20inal%C3%A1mbricos]","Diadema Manos Libres Bluetooth V5.0 25h Motorola Moto Xt500+","https://click1.mercadolibre.com.co/mclics/clicks/external/MCO/count?a=21rAznLzfC6aXy%2FcAVXuefF37b4gRET%2F29NnFgCGFu4LHZrnZAF4x5nN1NZNfdSAkXOGbrXnxpAfO8J7xN0aKsrlSl62mRmgm8pGUqvMzTHq22H1yveuqPz9T7YZpm9EUA4qnFODsZaS4clV2hfHfshXG%2BqrgoMYE%2Foa1eR8zywmVMljq1oPSOopcRZJ%2F%2F9TzE7pv0rf3aZ4xXBfXoLdcJkqsiLgcaxmmsY3c%2BRXrXZluRol3vSO52KSZw50yqw8ap1wUTaiZ7RlPftN6nSQgeGXEaPJPvecdjdL%2FfKe9CFAMH5IzLcXDT0RDo5ZOJT41uYtXfwOp7SxkB9etcW4EhSnxLky35m8720Y0EUX68H6ix3dA73VExHtsTnUvypYIJVl21IhUuRLmTWVl61XzqgB1e0Yq%2ByPABJEr3Ky%2FmwVAcO8Sg50qhJXIe0K%2BpR6rfImM6NGpg0wuDIUmyeQJnVbjud8qOeP1uhbAT04pMd2auUWRaKMybk%2FU0Ns%2FNH3xhx75TpSusMBlXBaNHIDHH6Q125mf2QBMv1jaHA9aJMqtONDSIajB7G3ZQ7XWVKWYX0SlUT4FPbV3Ibv6rMtlNbL1Pt27F7xJX%2FjmSyA2slQg5Oc2ZQh4BQ5Y0i7AYt76EWKMkGGfcB7MPeJCCFmpkKgRIgHsj%2BUemxp15oWKIok4OEKbsfbu3XzG7pp9H0bI0rlc6UaGitE7J9jvibovwCNGc95dAE4e%2FEa6Z1yWqJIAQcTh3Mjtq9T%2BjV5DiuK%2FNag1guB4uaL6GvSmNSrjro%3D&rb=x","Diadema Manos Libres Bluetooth V5.0 25h Motorola Moto Xt500+","164.900","null","(8 disponibles)"
"1661381516-16","https://listado.mercadolibre.com.co/audifonos-inal%C3%A1mbricos#D[A:audifonos%20inal%C3%A1mbricos]","Audífonos in-ear inalámbricos Haylou T Series MoriPods azul","https://www.mercadolibre.com.co/audifonos-in-ear-inalambricos-haylou-t-series-moripods-azul/p/MCO18373357#searchVariation=MCO18373357&position=41&search_layout=stack&type=product&tracking_id=6557f8a7-b4a7-4a26-a928-b02cc38aa3ff","Audífonos in-ear inalámbricos Haylou T Series MoriPods azul","126.990","WIKI ELECTRONIC","(14 disponibles)"
"1661381527-20","https://listado.mercadolibre.com.co/audifonos-inal%C3%A1mbricos#D[A:audifonos%20inal%C3%A1mbricos]","Audífonos in-ear gamer inalámbricos Haylou GT Series GT5 negro","https://www.mercadolibre.com.co/audifonos-in-ear-gamer-inalambricos-haylou-gt-series-gt5-negro/p/MCO17706729#searchVariation=MCO17706729&position=37&search_layout=stack&type=product&tracking_id=6557f8a7-b4a7-4a26-a928-b02cc38aa3ff","Audífonos in-ear gamer inalámbricos Haylou GT Series GT5 negro","113.990","WIKI ELECTRONIC","(153 disponibles)"
"1661381563-33","https://listado.mercadolibre.com.co/audifonos-inal%C3%A1mbricos#D[A:audifonos%20inal%C3%A1mbricos]","Audífonos inalámbricos Motorola Escape 220 negro","https://www.mercadolibre.com.co/audifonos-inalambricos-motorola-escape-220-negro/p/MCO16030226#searchVariation=MCO16030226&position=24&search_layout=stack&type=product&tracking_id=6557f8a7-b4a7-4a26-a928-b02cc38aa3ff","Audífonos inalámbricos Motorola Escape 220 negro","122.700","TELO TRAEMOS","null"
"1661381518-17","https://listado.mercadolibre.com.co/audifonos-inal%C3%A1mbricos#D[A:audifonos%20inal%C3%A1mbricos]","Audífonos inalámbricos Lenovo LP7 blanco","https://www.mercadolibre.com.co/audifonos-inalambricos-lenovo-lp7-blanco/p/MCO18536672#searchVariation=MCO18536672&position=40&search_layout=stack&type=product&tracking_id=6557f8a7-b4a7-4a26-a928-b02cc38aa3ff","Audífonos inalámbricos Lenovo LP7 blanco","108.990","ZENAIDACALLEJAS","(3 disponibles)"
"1661381613-51","https://listado.mercadolibre.com.co/audifonos-inal%C3%A1mbricos#D[A:audifonos%20inal%C3%A1mbricos]","Audífonos in-ear gamer inalámbricos Xiaomi Redmi Buds 3 Lite negro","https://www.mercadolibre.com.co/audifonos-in-ear-gamer-inalambricos-xiaomi-redmi-buds-3-lite-negro/p/MCO19031223#searchVariation=MCO19031223&position=6&search_layout=stack&type=product&tracking_id=6557f8a7-b4a7-4a26-a928-b02cc38aa3ff","Audífonos in-ear gamer inalámbricos Xiaomi Redmi Buds 3 Lite negro","84.800","CARDOSOLUISA20220211004533","(4 disponibles)"
