web-scraper-order,web-scraper-start-url,paginas_busqueda,ProductoAudifono,ProductoAudifono-href,nombre_producto,precio_producto,inventario_producto,proveedor_producto
"1661742265-31","https://listado.mercadolibre.com.co/audifonos-inal%C3%A1mbricos#D[A:audifonos%20inal%C3%A1mbricos]","https://listado.mercadolibre.com.co/audifonos-inal%C3%A1mbricos_Desde_51_NoIndex_True","Audífonos in-ear inalámbricos JBL Wave 100TWS ivory","https://www.mercadolibre.com.co/audifonos-in-ear-inalambricos-jbl-wave-100tws-ivory/p/MCO18462588#searchVariation=MCO18462588&position=18&search_layout=stack&type=product&tracking_id=6704a14c-a461-43a1-8b01-9307251285fb","Audífonos in-ear inalámbricos JBL Wave 100TWS ivory","205.000","(2 disponibles)","MASTRONICS COLOMBIA"
"1661743734-532","https://listado.mercadolibre.com.co/audifonos-inal%C3%A1mbricos#D[A:audifonos%20inal%C3%A1mbricos]","https://listado.mercadolibre.com.co/audifonos-inal%C3%A1mbricos_Desde_501_NoIndex_True","Audífono Aiwa Awk11b Bluetooth Diadema Negro Hasta 18 Horas","https://articulo.mercadolibre.com.co/MCO-638149892-audifono-aiwa-awk11b-bluetooth-diadema-negro-hasta-18-horas-_JM?searchVariation=88688432743#searchVariation=88688432743&position=28&search_layout=stack&type=item&tracking_id=d9d2f9f8-4bb7-4642-b28f-4cdf818f5ccd","Audífono Aiwa Awk11b Bluetooth Diadema Negro Hasta 18 Horas","89.900","(3 disponibles)","null"
"1661745702-1216","https://listado.mercadolibre.com.co/audifonos-inal%C3%A1mbricos#D[A:audifonos%20inal%C3%A1mbricos]","https://listado.mercadolibre.com.co/audifonos-inal%C3%A1mbricos_Desde_1151_NoIndex_True","Caja De Carga Apple AirPods Original","https://articulo.mercadolibre.com.co/MCO-648308132-caja-de-carga-apple-airpods-original-_JM?searchVariation=91672470929#searchVariation=91672470929&position=43&search_layout=stack&type=item&tracking_id=be7e60c9-5806-48bd-8c55-d225eeece297","Caja De Carga Apple AirPods Original","235.000","(3 disponibles)","null"
"1661744241-709","https://listado.mercadolibre.com.co/audifonos-inal%C3%A1mbricos#D[A:audifonos%20inal%C3%A1mbricos]","https://listado.mercadolibre.com.co/audifonos-inal%C3%A1mbricos_Desde_651_NoIndex_True","Almohadillas Reemplazo Para Audifonos Bose 700 - Nc700","https://articulo.mercadolibre.com.co/MCO-848335029-almohadillas-reemplazo-para-audifonos-bose-700-nc700-_JM?searchVariation=174768942517#searchVariation=174768942517&position=19&search_layout=stack&type=item&tracking_id=c1c5f812-7ae8-49b2-9214-2a57bef44b91","Almohadillas Reemplazo Para Audifonos Bose 700 - Nc700","70.000","(4 disponibles)","null"
"1661745212-1044","https://listado.mercadolibre.com.co/audifonos-inal%C3%A1mbricos#D[A:audifonos%20inal%C3%A1mbricos]","https://listado.mercadolibre.com.co/audifonos-inal%C3%A1mbricos_Desde_951_NoIndex_True","Audifonos Auriculares Inalambricos  Pro 6s","https://articulo.mercadolibre.com.co/MCO-892710976-audifonos-auriculares-inalambricos-pro-6s-_JM?searchVariation=174501994611#searchVariation=174501994611&position=18&search_layout=stack&type=item&tracking_id=29da8a56-5696-4138-bbf6-19364276448d","Audifonos Auriculares Inalambricos  Pro 6s","59.900","(6 disponibles)","null"
"1661746703-1569","https://listado.mercadolibre.com.co/audifonos-inal%C3%A1mbricos#D[A:audifonos%20inal%C3%A1mbricos]","https://listado.mercadolibre.com.co/audifonos-inal%C3%A1mbricos_Desde_1501_NoIndex_True","Funda Estuche Protector Para Audífonos Xiaomi Redmi Airdots","https://articulo.mercadolibre.com.co/MCO-532945554-funda-estuche-protector-para-audifonos-xiaomi-redmi-airdots-_JM?searchVariation=174443190899#searchVariation=174443190899&position=37&search_layout=stack&type=item&tracking_id=c4f5394a-825e-4ab7-968c-adbfd5498ab9","Funda Estuche Protector Para Audífonos Xiaomi Redmi Airdots","15.000","(2 disponibles)","null"
"1661742501-110","https://listado.mercadolibre.com.co/audifonos-inal%C3%A1mbricos#D[A:audifonos%20inal%C3%A1mbricos]","https://listado.mercadolibre.com.co/audifonos-inal%C3%A1mbricos_Desde_101_NoIndex_True","Audifonos Lenovo Bluetooth Con Microfono Cancelacion Ruido.","https://click1.mercadolibre.com.co/mclics/clicks/external/MCO/count?a=6MQ0O53Y3qVmDXPz3uBoCwO9Jrt5bcIfFIeV5J8MLMA9U9jLqv1t8m5C0efOt1jizlUQmBUobJPf7y8E0zK87VVCrOPWQ6qOS33R97gI3bqQ8PtuPU2wfpGDOvAVYbdPC3wnVUJSUhq1%2FK9rRttgbtgiTi0OPDKcBudC52AHFcn%2B8DBcFkugSFQZMly3WfPAms%2BDD3h3huGsarUxNN4k5Rmhh6VFr8qei45zUwFXennlET8pPn%2B50tWYU9FJNQs0l6Hl92ryn8B%2FE1nLflIx0ZtePtEB5LdTaMTKYdajUskoUCqkG9svYE4voJOjxAR0Y41kZlSbhFdKvZgl0IbkkTfnM7pm9SiAym8EugIcKfVa9Tq6SF45TRPWa6YwNRmATtOvZ%2F1WRS2YMBsYOVxidd6e%2F0u5xIhfoUt0QAj6zuT%2FMoD6diZ5tsot92pVu%2BALrs2VLpswNx6xnNDwXLQaRnZ2BmVXA4%2BrVWZ3yrsKipCLlxhLibPyJg4yycMva0YLoq%2BGIDCl8wQCRSzg1cQRcJi4YiJVBudLRBR46Q3X9%2B8bC6eWUtc0jeDJPJVjjyvnwut7yRqt5QlKYPyXGn0OcNOCfOVDP3mAj5sjbkBoEEIunb8OVMqC6hWqF5CtmLGQgnfatfrcI3eGa8HX83jR%2BLCjPfUj%2BQpKHi6W1KvoP6ELrmgMLHJ1jayzijvIQaqMl2ZlXY%2B6IUB9QBhkP1%2B7Qip6G96OJF9T34mC9lzELfmLduZQRwTi1FPNq2X5hBYGq8vz76weZtKs3ljVCoCqJ0d6H1eFSQ%3D%3D&rb=x","Audifonos Lenovo Bluetooth Con Microfono Cancelacion Ruido.","110.000","(3 disponibles)","null"
"1661745545-1160","https://listado.mercadolibre.com.co/audifonos-inal%C3%A1mbricos#D[A:audifonos%20inal%C3%A1mbricos]","https://listado.mercadolibre.com.co/audifonos-inal%C3%A1mbricos_Desde_1101_NoIndex_True","Audífonos Manoslibres Microfono Elite Earphone Igoma Gh-24","https://articulo.mercadolibre.com.co/MCO-865988123-audifonos-manoslibres-microfono-elite-earphone-igoma-gh-24-_JM?searchVariation=174268553543#searchVariation=174268553543&position=48&search_layout=stack&type=item&tracking_id=7ec59810-b5e9-46f0-a09e-d316fd8b9f6e","Audífonos Manoslibres Microfono Elite Earphone Igoma Gh-24","29.990","null","null"
"1661743029-288","https://listado.mercadolibre.com.co/audifonos-inal%C3%A1mbricos#D[A:audifonos%20inal%C3%A1mbricos]","https://listado.mercadolibre.com.co/audifonos-inal%C3%A1mbricos_Desde_301_NoIndex_True","Audifonos Bluetooh Parlante Manos Libres M6 In-ear Powerbank","https://articulo.mercadolibre.com.co/MCO-802144647-audifonos-bluetooh-parlante-manos-libres-m6-in-ear-powerbank-_JM?searchVariation=173567244091#searchVariation=173567244091&position=50&search_layout=stack&type=item&tracking_id=61517a12-8ed1-49fb-a69f-1c709296586f","Audifonos Bluetooh Parlante Manos Libres M6 In-ear Powerbank","90.155","(31 disponibles)","null"
"1661744433-777","https://listado.mercadolibre.com.co/audifonos-inal%C3%A1mbricos#D[A:audifonos%20inal%C3%A1mbricos]","https://listado.mercadolibre.com.co/audifonos-inal%C3%A1mbricos_Desde_701_NoIndex_True","Audífonos Bluetooth Xiaomi Buds 3t Pro Cancelación De Ruido","https://articulo.mercadolibre.com.co/MCO-937418013-audifonos-bluetooth-xiaomi-buds-3t-pro-cancelacion-de-ruido-_JM?searchVariation=174950783206#searchVariation=174950783206&position=17&search_layout=stack&type=item&tracking_id=711d88ad-df5d-4ea2-b9a4-9263f272d043","Audífonos Bluetooth Xiaomi Buds 3t Pro Cancelación De Ruido","477.000","(13 disponibles)","null"
