web-scraper-order,web-scraper-start-url,paginas,producto,producto-href,nombreproducto,precioproducto,unidadesproducto,ubicacionproduto
"1661800002-102","https://listado.mercadolibre.com.co/tractomula-juguete#D[A:tractomula%20juguete]","https://listado.mercadolibre.com.co/juegos-juguetes/vehiculos-juguete/vehiculos-escala/tractomula-juguete_NoIndex_True","Tractomula Camión De Colección A Escala 1/50 Mula Contenedor","https://articulo.mercadolibre.com.co/MCO-903450307-tractomula-camion-de-coleccion-a-escala-150-mula-contenedor-_JM?searchVariation=174603071399#searchVariation=174603071399&position=18&search_layout=stack&type=item&tracking_id=669f027a-e2f1-4664-91e6-204fafc9786e","Tractomula Camión De Colección A Escala 1/50 Mula Contenedor","109.900","null","Bosa, Bogotá D.C."
"1661800012-106","https://listado.mercadolibre.com.co/tractomula-juguete#D[A:tractomula%20juguete]","https://listado.mercadolibre.com.co/juegos-juguetes/vehiculos-juguete/vehiculos-escala/tractomula-juguete_NoIndex_True","Tractomula Kenworth T700 De Colección A Escala 1 /68 Camión","https://articulo.mercadolibre.com.co/MCO-808878159-tractomula-kenworth-t700-de-coleccion-a-escala-1-68-camion-_JM?searchVariation=173658205240#searchVariation=173658205240&position=14&search_layout=stack&type=item&tracking_id=669f027a-e2f1-4664-91e6-204fafc9786e","Tractomula Kenworth T700 De Colección A Escala 1 /68 Camión","59.900","null","Bosa, Bogotá D.C."
"1661799946-80","https://listado.mercadolibre.com.co/tractomula-juguete#D[A:tractomula%20juguete]","https://listado.mercadolibre.com.co/juegos-juguetes/vehiculos-juguete/vehiculos-escala/tractomula-juguete_NoIndex_True","Tractomula Camión De Colección A Escala International Mula","https://articulo.mercadolibre.com.co/MCO-925030503-tractomula-camion-de-coleccion-a-escala-international-mula-_JM?searchVariation=174812196686#searchVariation=174812196686&position=40&search_layout=stack&type=item&tracking_id=669f027a-e2f1-4664-91e6-204fafc9786e","Tractomula Camión De Colección A Escala International Mula","149.900","null","Bosa, Bogotá D.C."
"1661799987-96","https://listado.mercadolibre.com.co/tractomula-juguete#D[A:tractomula%20juguete]","https://listado.mercadolibre.com.co/juegos-juguetes/vehiculos-juguete/vehiculos-escala/tractomula-juguete_NoIndex_True","Kenworth T 700 Tractomula Escala 1.68 32 Cm Blanca","https://articulo.mercadolibre.com.co/MCO-506942437-kenworth-t-700-tractomula-escala-168-32-cm-blanca-_JM?searchVariation=39878115236#searchVariation=39878115236&position=24&search_layout=stack&type=item&tracking_id=669f027a-e2f1-4664-91e6-204fafc9786e","Kenworth T 700 Tractomula Escala 1.68 32 Cm Blanca","53.700","(3 disponibles)","Engativá, Bogotá D.C."
"1661799806-27","https://listado.mercadolibre.com.co/tractomula-juguete#D[A:tractomula%20juguete]","https://listado.mercadolibre.com.co/juegos-juguetes/vehiculos-juguete/vehiculos-escala/tractomula-juguete_Desde_51_NoIndex_True","Peterbilt Redbull, 1/32, Newray, 58 Cms De Largo.","https://articulo.mercadolibre.com.co/MCO-908320000-peterbilt-redbull-132-newray-58-cms-de-largo-_JM?searchVariation=174639465827#searchVariation=174639465827&position=25&search_layout=stack&type=item&tracking_id=8b1b08f0-24a5-4f8d-8281-67441822129c","Peterbilt Redbull, 1/32, Newray, 58 Cms De Largo.","280.000","null","Engativá, Bogotá D.C."
"1661799974-91","https://listado.mercadolibre.com.co/tractomula-juguete#D[A:tractomula%20juguete]","https://listado.mercadolibre.com.co/juegos-juguetes/vehiculos-juguete/vehiculos-escala/tractomula-juguete_NoIndex_True","Tractomula Camión Kadiwei Contenedores De Colección A Escala","https://articulo.mercadolibre.com.co/MCO-561158802-tractomula-camion-kadiwei-contenedores-de-coleccion-a-escala-_JM?searchVariation=173824046198#searchVariation=173824046198&position=29&search_layout=stack&type=item&tracking_id=669f027a-e2f1-4664-91e6-204fafc9786e","Tractomula Camión Kadiwei Contenedores De Colección A Escala","179.900","null","Bosa, Bogotá D.C."
"1661800150-157","https://listado.mercadolibre.com.co/tractomula-juguete#D[A:tractomula%20juguete]","","Tractomula Camión De Colección A Escala Mula Contenedor","https://articulo.mercadolibre.com.co/MCO-910271934-tractomula-camion-de-coleccion-a-escala-mula-contenedor-_JM?searchVariation=174659605864#searchVariation=174659605864&position=12&search_layout=stack&type=item&tracking_id=ac2563ff-7ff4-40f7-8a21-654ffb87d2d9","Tractomula Camión De Colección A Escala Mula Contenedor","109.900","null","Bosa, Bogotá D.C."
"1661799858-48","https://listado.mercadolibre.com.co/tractomula-juguete#D[A:tractomula%20juguete]","https://listado.mercadolibre.com.co/juegos-juguetes/vehiculos-juguete/vehiculos-escala/tractomula-juguete_Desde_51_NoIndex_True","Tractomulá Niñera De Fricción 2 Carros Juguetes Niños","https://articulo.mercadolibre.com.co/MCO-841943606-tractomula-ninera-de-friccion-2-carros-juguetes-ninos-_JM?searchVariation=174008455096#searchVariation=174008455096&position=4&search_layout=stack&type=item&tracking_id=8b1b08f0-24a5-4f8d-8281-67441822129c","Tractomulá Niñera De Fricción 2 Carros Juguetes Niños","25.000","(49 disponibles)","Santa Fe, Bogotá D.C."
"1661800005-103","https://listado.mercadolibre.com.co/tractomula-juguete#D[A:tractomula%20juguete]","https://listado.mercadolibre.com.co/juegos-juguetes/vehiculos-juguete/vehiculos-escala/tractomula-juguete_NoIndex_True","Tractomula De Fricción Con 4 Carros Niñera Juguetes Niños","https://articulo.mercadolibre.com.co/MCO-497350923-tractomula-de-friccion-con-4-carros-ninera-juguetes-ninos-_JM#position=17&search_layout=stack&type=item&tracking_id=669f027a-e2f1-4664-91e6-204fafc9786e","Tractomula De Fricción Con 4 Carros Niñera Juguetes Niños","35.000","(5 disponibles)","Santa Fe, Bogotá D.C."
"1661799968-89","https://listado.mercadolibre.com.co/tractomula-juguete#D[A:tractomula%20juguete]","https://listado.mercadolibre.com.co/juegos-juguetes/vehiculos-juguete/vehiculos-escala/tractomula-juguete_NoIndex_True","Tractomula Kenworth W900 Roja, 56cms De Largo, Escala 1/32,","https://articulo.mercadolibre.com.co/MCO-621815264-tractomula-kenworth-w900-roja-56cms-de-largo-escala-132-_JM?searchVariation=84044120875#searchVariation=84044120875&position=31&search_layout=stack&type=item&tracking_id=669f027a-e2f1-4664-91e6-204fafc9786e","Tractomula Kenworth W900 Roja, 56cms De Largo, Escala 1/32,","239.000","null","Engativá, Bogotá D.C."
"1661800060-121","https://listado.mercadolibre.com.co/tractomula-juguete#D[A:tractomula%20juguete]","","Matchbox Lesney Moko #27 England","https://articulo.mercadolibre.com.co/MCO-865774494-matchbox-lesney-moko-27-england-_JM?searchVariation=174265809820#searchVariation=174265809820&position=48&search_layout=stack&type=item&tracking_id=ac2563ff-7ff4-40f7-8a21-654ffb87d2d9","Matchbox Lesney Moko #27 England","176.000","null","Kennedy, Bogotá D.C."
"1661800120-145","https://listado.mercadolibre.com.co/tractomula-juguete#D[A:tractomula%20juguete]","","Kenworth T 700 Tractomula Escala 1.68 32 Cm Blanca","https://articulo.mercadolibre.com.co/MCO-506942437-kenworth-t-700-tractomula-escala-168-32-cm-blanca-_JM?searchVariation=39878115236#searchVariation=39878115236&position=24&search_layout=stack&type=item&tracking_id=ac2563ff-7ff4-40f7-8a21-654ffb87d2d9","Kenworth T 700 Tractomula Escala 1.68 32 Cm Blanca","53.700","(3 disponibles)","Engativá, Bogotá D.C."
"1661799800-25","https://listado.mercadolibre.com.co/tractomula-juguete#D[A:tractomula%20juguete]","https://listado.mercadolibre.com.co/juegos-juguetes/vehiculos-juguete/vehiculos-escala/tractomula-juguete_Desde_51_NoIndex_True","Tractomula Kenworth W900, Escala 1/32, Newray, 58cms Largo.","https://articulo.mercadolibre.com.co/MCO-941020337-tractomula-kenworth-w900-escala-132-newray-58cms-largo-_JM?searchVariation=174996179020#searchVariation=174996179020&position=27&search_layout=stack&type=item&tracking_id=8b1b08f0-24a5-4f8d-8281-67441822129c","Tractomula Kenworth W900, Escala 1/32, Newray, 58cms Largo.","239.000","null","Engativá, Bogotá D.C."
"1661800054-119","https://listado.mercadolibre.com.co/tractomula-juguete#D[A:tractomula%20juguete]","","Tractomula Camión De Colección A Escala 1/64 Harley Davidson","https://articulo.mercadolibre.com.co/MCO-826366679-tractomula-camion-de-coleccion-a-escala-164-harley-davidson-_JM?searchVariation=173860897356#searchVariation=173860897356&position=50&search_layout=stack&type=item&tracking_id=ac2563ff-7ff4-40f7-8a21-654ffb87d2d9","Tractomula Camión De Colección A Escala 1/64 Harley Davidson","84.900","null","Bosa, Bogotá D.C."
"1661800117-144","https://listado.mercadolibre.com.co/tractomula-juguete#D[A:tractomula%20juguete]","","Tractomula Niñera +4 Carros De Colección A Escala Cars Rayo","https://articulo.mercadolibre.com.co/MCO-866777544-tractomula-ninera-4-carros-de-coleccion-a-escala-cars-rayo-_JM?searchVariation=174273739180#searchVariation=174273739180&position=25&search_layout=stack&type=item&tracking_id=ac2563ff-7ff4-40f7-8a21-654ffb87d2d9","Tractomula Niñera +4 Carros De Colección A Escala Cars Rayo","64.900","null","Bosa, Bogotá D.C."
