web-scraper-order,web-scraper-start-url,paginas_busqueda,ProductoKatana,ProductoKatana-href,nombre_producto,precio_producto,inventario_producto,origen_producto
"1661797995-18","https://listado.mercadolibre.com.co/katanas-japonesas#D[A:katanas%20japonesas]","https://listado.mercadolibre.com.co/deportes-fitness/boxeo-artes-marciales/proteccion-defensa/katanas/katanas-japonesas_Desde_51_NoIndex_True","Soporte De Espada De Dos Niveles","https://articulo.mercadolibre.com.co/MCO-565412073-soporte-de-espada-de-dos-niveles-_JM#position=33&search_layout=stack&type=item&tracking_id=5a5de2e5-84f7-48ba-bb2c-11c67d1b3d8d","Soporte De Espada De Dos Niveles","182.900","Cantidad:1 unidad(5 disponibles)","Engativá, Bogotá D.C."
"1661798117-71","https://listado.mercadolibre.com.co/katanas-japonesas#D[A:katanas%20japonesas]","https://listado.mercadolibre.com.co/deportes-fitness/boxeo-artes-marciales/proteccion-defensa/katanas/katanas-japonesas_NoIndex_True","Kit De Limpieza Espadas, Katana Samurai, Kenjutsu, Ninjutsu","https://articulo.mercadolibre.com.co/MCO-596880237-kit-de-limpieza-espadas-katana-samurai-kenjutsu-ninjutsu-_JM#position=49&search_layout=stack&type=item&tracking_id=2f7c856e-2c8b-4255-b63f-3bf50d1a0170","Kit De Limpieza Espadas, Katana Samurai, Kenjutsu, Ninjutsu","97.800","Cantidad:1 unidad(2 disponibles)","Bucaramanga, Santander"
"1661798088-58","https://listado.mercadolibre.com.co/katanas-japonesas#D[A:katanas%20japonesas]","https://listado.mercadolibre.com.co/deportes-fitness/boxeo-artes-marciales/proteccion-defensa/katanas/katanas-japonesas_Desde_101_NoIndex_True","Lyuesword Forjado A Mano Damasco Doblado Acero Arcilla Templ","https://articulo.mercadolibre.com.co/MCO-592554808-lyuesword-forjado-a-mano-damasco-doblado-acero-arcilla-templ-_JM#position=12&search_layout=stack&type=item&tracking_id=dca914cd-0fb2-4744-b5d2-a520d28be608","Lyuesword Forjado A Mano Damasco Doblado Acero Arcilla Templ","3.112.791","Cantidad:1 unidad(12 disponibles)","Bucaramanga, Santander"
"1661798048-41","https://listado.mercadolibre.com.co/katanas-japonesas#D[A:katanas%20japonesas]","https://listado.mercadolibre.com.co/deportes-fitness/boxeo-artes-marciales/proteccion-defensa/katanas/katanas-japonesas_Desde_51_NoIndex_True","Katana Espada Sin Funda Para Decoracion Y Coleccion Cosplay","https://articulo.mercadolibre.com.co/MCO-939969285-katana-espada-sin-funda-para-decoracion-y-coleccion-cosplay-_JM#position=10&search_layout=stack&type=item&tracking_id=5a5de2e5-84f7-48ba-bb2c-11c67d1b3d8d","Katana Espada Sin Funda Para Decoracion Y Coleccion Cosplay","229.900","null","Fontibón, Bogotá D.C."
"1661798193-109","https://listado.mercadolibre.com.co/katanas-japonesas#D[A:katanas%20japonesas]","https://listado.mercadolibre.com.co/deportes-fitness/boxeo-artes-marciales/proteccion-defensa/katanas/katanas-japonesas_NoIndex_True","Katana Japonesa De Exhibición","https://articulo.mercadolibre.com.co/MCO-932054562-katana-japonesa-de-exhibicion-_JM#position=10&search_layout=stack&type=item&tracking_id=2f7c856e-2c8b-4255-b63f-3bf50d1a0170","Katana Japonesa De Exhibición","350.000","Cantidad:1 unidad(5 disponibles)","Usaquén, Bogotá D.C."
"1661798185-105","https://listado.mercadolibre.com.co/katanas-japonesas#D[A:katanas%20japonesas]","https://listado.mercadolibre.com.co/deportes-fitness/boxeo-artes-marciales/proteccion-defensa/katanas/katanas-japonesas_NoIndex_True","Palillos Samurai Katana Japoneses Tres Heros Ieyasu Tokugawa","https://articulo.mercadolibre.com.co/MCO-600618093-palillos-samurai-katana-japoneses-tres-heros-ieyasu-tokugawa-_JM#position=14&search_layout=stack&type=item&tracking_id=2f7c856e-2c8b-4255-b63f-3bf50d1a0170","Palillos Samurai Katana Japoneses Tres Heros Ieyasu Tokugawa","201.398","Cantidad:1 unidad(12 disponibles)","Bosa, Bogotá D.C."
"1661798138-82","https://listado.mercadolibre.com.co/katanas-japonesas#D[A:katanas%20japonesas]","https://listado.mercadolibre.com.co/deportes-fitness/boxeo-artes-marciales/proteccion-defensa/katanas/katanas-japonesas_NoIndex_True","Exibidor En Madera Para Katanas Espadas,sables Ejercito Daga","https://articulo.mercadolibre.com.co/MCO-596779995-exibidor-en-madera-para-katanas-espadassables-ejercito-daga-_JM#position=38&search_layout=stack&type=item&tracking_id=2f7c856e-2c8b-4255-b63f-3bf50d1a0170","Exibidor En Madera Para Katanas Espadas,sables Ejercito Daga","51.900","null","Fontibón, Bogotá D.C."
"1661797965-4","https://listado.mercadolibre.com.co/katanas-japonesas#D[A:katanas%20japonesas]","https://listado.mercadolibre.com.co/deportes-fitness/boxeo-artes-marciales/proteccion-defensa/katanas/katanas-japonesas_Desde_51_NoIndex_True","Para La Espada Danceonlinehasebe Prototipos Escala 1/8 Abs Y","https://articulo.mercadolibre.com.co/MCO-873225445-para-la-espada-danceonlinehasebe-prototipos-escala-18-abs-y-_JM#position=47&search_layout=stack&type=item&tracking_id=5a5de2e5-84f7-48ba-bb2c-11c67d1b3d8d","Para La Espada Danceonlinehasebe Prototipos Escala 1/8 Abs Y","1.209.859","Cantidad:1 unidad(12 disponibles)","Floridablanca, Santander"
"1661798197-111","https://listado.mercadolibre.com.co/katanas-japonesas#D[A:katanas%20japonesas]","https://listado.mercadolibre.com.co/deportes-fitness/boxeo-artes-marciales/proteccion-defensa/katanas/katanas-japonesas_NoIndex_True","Saki Katana - Tijeras Japonesas  6 Unidades   Color Negro","https://articulo.mercadolibre.com.co/MCO-855927011-saki-katana-tijeras-japonesas-6-unidades-color-negro-_JM#position=8&search_layout=stack&type=item&tracking_id=2f7c856e-2c8b-4255-b63f-3bf50d1a0170","Saki Katana - Tijeras Japonesas  6 Unidades   Color Negro","1.607.900","Cantidad:1 unidad(10 disponibles)","San Cristobal Sur, Bogotá D.C."
"1661798052-43","https://listado.mercadolibre.com.co/katanas-japonesas#D[A:katanas%20japonesas]","https://listado.mercadolibre.com.co/deportes-fitness/boxeo-artes-marciales/proteccion-defensa/katanas/katanas-japonesas_Desde_51_NoIndex_True","Katana Shusui De Zoro De One Piece Cosplay","https://articulo.mercadolibre.com.co/MCO-949504314-katana-shusui-de-zoro-de-one-piece-cosplay-_JM#position=8&search_layout=stack&type=item&tracking_id=5a5de2e5-84f7-48ba-bb2c-11c67d1b3d8d","Katana Shusui De Zoro De One Piece Cosplay","250.000","null","Antonio Nariño, Bogotá D.C."
