OA11CD,Fare_Zone
E00000001,1
E00000003,1
E00000005,1
E00000007,1
E00000010,1
E00000012,1
E00000013,1
E00000014,1
E00000016,1
E00000017,1
E00000018,1
E00000019,1
E00000020,1
E00000021,1
E00000022,1
E00000023,1
E00000024,1
E00000025,1
E00000026,1
E00000027,1
E00000028,1
E00000029,1
E00000030,1
E00000031,1
E00000032,1
E00000035,1
E00000037,4
E00000038,4
E00000039,4
E00000040,4
E00000041,4
E00000042,4
E00000043,4
E00000045,4
E00000046,4
E00000048,4
E00000049,4
E00000050,4
E00000051,4
E00000052,4
E00000053,4
E00000054,4
E00000055,4
E00000056,4
E00000057,4
E00000059,4
E00000060,4
E00000061,4
E00000062,4
E00000063,4
E00000064,4
E00000065,4
E00000066,4
E00000067,4
E00000068,4
E00000069,4
E00000070,5
E00000071,5
E00000072,5
E00000073,5
E00000074,5
E00000075,5
E00000076,5
E00000077,5
E00000078,5
E00000079,5
E00000080,5
E00000081,5
E00000082,5
E00000083,5
E00000084,5
E00000085,5
E00000086,5
E00000087,5
E00000088,5
E00000089,5
E00000090,5
E00000091,5
E00000092,5
E00000093,5
E00000094,5
E00000095,5
E00000096,5
E00000097,5
E00000098,5
E00000099,5
E00000100,5
E00000101,5
E00000102,5
E00000103,5
E00000104,4
E00000106,4
E00000107,5
E00000108,5
E00000109,4
E00000110,5
E00000111,5
E00000112,4
E00000113,5
E00000114,5
E00000115,5
E00000116,5
E00000117,4
E00000118,4
E00000119,4
E00000120,5
E00000121,4
E00000122,5
E00000123,5
E00000124,5
E00000125,4
E00000126,4
E00000127,4
E00000128,5
E00000129,5
E00000130,5
E00000131,5
E00000132,5
E00000133,5
E00000134,5
E00000135,5
E00000136,5
E00000137,5
E00000138,5
E00000139,5
E00000140,5
E00000141,5
E00000142,5
E00000143,5
E00000144,5
E00000145,5
E00000146,5
E00000147,5
E00000148,5
E00000149,5
E00000150,5
E00000151,5
E00000152,5
E00000153,5
E00000154,5
E00000155,5
E00000156,5
E00000157,5
E00000158,5
E00000159,5
E00000160,5
E00000161,5
E00000162,5
E00000163,5
E00000164,5
E00000165,5
E00000166,5
E00000167,5
E00000168,5
E00000169,5
E00000170,5
E00000171,5
E00000172,5
E00000173,5
E00000174,5
E00000175,5
E00000176,5
E00000177,5
E00000178,5
E00000179,5
E00000180,5
E00000181,6
E00000182,6
E00000183,6
E00000184,6
E00000185,6
E00000186,6
E00000187,5
E00000188,6
E00000189,6
E00000190,6
E00000191,6
E00000192,6
E00000193,6
E00000194,6
E00000195,6
E00000196,6
E00000197,6
E00000198,5
E00000199,4
E00000200,5
E00000201,4
E00000202,5
E00000203,5
E00000204,5
E00000205,4
E00000206,4
E00000207,5
E00000208,5
E00000209,5
E00000210,4
E00000211,4
E00000212,4
E00000213,4
E00000214,5
E00000215,5
E00000216,4
E00000217,4
E00000218,4
E00000219,5
E00000220,4
E00000221,5
E00000222,4
E00000223,4
E00000224,5
E00000225,4
E00000226,4
E00000227,4
E00000228,4
E00000229,4
E00000230,4
E00000231,4
E00000232,4
E00000234,4
E00000235,4
E00000236,4
E00000237,4
E00000238,4
E00000239,4
E00000240,4
E00000241,4
E00000242,4
E00000243,4
E00000244,4
E00000245,4
E00000246,4
E00000247,4
E00000248,4
E00000249,4
E00000250,4
E00000251,4
E00000252,4
E00000253,4
E00000254,4
E00000255,4
E00000256,4
E00000257,4
E00000258,4
E00000259,4
E00000260,4
E00000261,4
E00000263,4
E00000264,4
E00000265,5
E00000266,5
E00000267,5
E00000268,5
E00000269,5
E00000270,5
E00000271,5
E00000272,5
E00000273,5
E00000274,5
E00000275,5
E00000276,5
E00000277,5
E00000278,5
E00000279,5
E00000280,5
E00000282,5
E00000283,5
E00000284,5
