OA11CD,driving_distance_miles,driving_time_mins,public_transport_time_mins,cycling_distance_miles,cycling_time_mins,walking_distance_miles,walking_time_mins
E00000001,0.86,6,16,0.83,6,0.80,16
E00000003,0.99,7,14,0.98,7,0.73,14
E00000005,0.86,6,13,0.83,6,0.65,13
E00000007,0.64,5,10,0.61,4,0.51,10
E00000010,0.93,6,17,0.88,6,0.85,17
E00000012,0.95,7,17,0.94,7,0.87,17
E00000013,0.92,7,17,0.89,6,0.86,17
E00000014,0.88,6,16,0.86,6,0.82,16
E00000016,0.83,5,15,0.83,6,0.76,15
E00000017,0.74,5,13,0.73,5,0.67,13
E00000018,0.52,4,11,0.50,4,0.54,11
E00000019,0.67,5,12,0.67,5,0.62,12
E00000020,0.64,4,11,0.63,4,0.58,11
E00000021,0.50,4,11,0.49,4,0.53,11
E00000022,1.36,7,20,1.08,8,1.00,20
E00000023,1.31,7,18,1.07,7,0.94,18
E00000024,0.60,6,8,0.52,10,0.00,0
E00000025,1.39,9,11,1.01,7,0.90,18
E00000026,0.89,6,12,0.61,5,0.64,13
E00000027,0.92,6,14,0.76,5,0.66,14
E00000028,1.44,9,10,1.04,8,0.96,19
E00000029,1.91,10,17,0.88,18,0.00,0
E00000030,0.99,6,17,0.88,7,0.83,17
E00000031,0.92,5,15,0.81,6,0.73,15
E00000032,1.96,10,16,0.86,17,0.00,0
E00000035,1.03,8,12,0.65,5,0.62,12
E00000037,10.79,43,41,9.26,55,0.00,0
E00000038,10.96,45,45,9.44,56,0.00,0
E00000039,10.67,42,49,9.14,53,0.00,0
E00000040,10.26,40,44,8.86,52,0.00,0
E00000041,10.88,44,41,9.34,55,0.00,0
E00000042,10.96,45,42,9.20,54,0.00,0
E00000043,10.65,42,49,9.12,53,0.00,0
E00000045,10.62,42,48,9.08,53,0.00,0
E00000046,10.69,44,42,9.12,53,0.00,0
E00000048,10.63,42,48,9.10,53,0.00,0
E00000049,11.05,46,44,9.52,57,0.00,0
E00000050,10.58,42,48,9.05,53,0.00,0
E00000051,10.87,44,39,9.34,56,0.00,0
E00000052,10.45,41,45,8.92,52,0.00,0
E00000053,11.01,45,43,9.48,56,0.00,0
E00000054,11.05,46,40,9.52,57,0.00,0
E00000055,11.12,46,44,9.59,57,0.00,0
E00000056,10.62,42,48,9.09,53,0.00,0
E00000057,10.38,41,47,8.99,53,0.00,0
E00000059,11.16,47,45,9.63,57,0.00,0
E00000060,11.13,46,44,9.60,57,0.00,0
E00000061,10.13,39,44,8.73,51,0.00,0
E00000062,10.24,40,41,9.07,53,0.00,0
E00000063,10.34,40,45,9.21,54,0.00,0
E00000064,11.08,45,46,9.32,55,0.00,0
E00000065,10.72,44,44,9.15,54,0.00,0
E00000066,11.07,45,46,9.31,55,0.00,0
E00000067,10.91,46,47,9.34,55,0.00,0
E00000068,10.84,45,42,9.28,55,0.00,0
E00000069,10.71,44,43,9.14,54,0.00,0
E00000070,13.53,58,62,13.14,71,0.00,0
E00000071,13.36,56,55,13.36,72,0.00,0
E00000072,13.49,55,58,12.84,69,0.00,0
E00000073,13.50,55,58,12.92,70,0.00,0
E00000074,13.65,57,60,13.25,72,0.00,0
E00000075,12.92,55,59,12.80,69,0.00,0
E00000076,13.41,55,56,13.14,71,0.00,0
E00000077,13.37,55,55,12.97,70,0.00,0
E00000078,13.47,55,57,12.86,69,0.00,0
E00000079,13.47,56,56,13.20,71,0.00,0
E00000080,13.61,57,55,12.86,72,0.00,0
E00000081,13.32,54,54,13.00,70,0.00,0
E00000082,13.53,56,58,13.27,72,0.00,0
E00000083,13.38,55,54,13.23,71,0.00,0
E00000084,13.39,56,55,12.76,72,0.00,0
E00000085,13.43,56,55,12.88,70,0.00,0
E00000086,13.31,55,53,12.92,70,0.00,0
E00000087,13.11,53,50,12.52,71,0.00,0
E00000088,13.17,54,51,12.58,71,0.00,0
E00000089,13.46,56,57,13.39,72,0.00,0
E00000090,13.16,55,51,12.90,70,0.00,0
E00000091,13.43,56,54,12.74,72,0.00,0
E00000092,12.48,54,54,12.20,69,0.00,0
E00000093,12.99,53,48,12.40,70,0.00,0
E00000094,13.23,55,52,12.65,71,0.00,0
E00000095,13.14,55,51,12.56,71,0.00,0
E00000096,13.15,55,51,12.37,70,0.00,0
E00000097,12.49,54,54,12.23,69,0.00,0
E00000098,12.27,51,56,11.81,68,0.00,0
E00000099,12.27,52,54,11.99,68,0.00,0
E00000100,13.77,58,62,13.19,71,0.00,0
E00000101,12.09,51,61,11.65,63,0.00,0
E00000102,12.10,50,58,11.78,64,0.00,0
E00000103,13.12,59,50,11.43,62,0.00,0
E00000104,12.58,55,59,11.60,64,0.00,0
E00000106,12.80,55,54,11.45,62,0.00,0
E00000107,12.92,56,53,11.49,62,0.00,0
E00000108,12.70,54,54,11.54,63,0.00,0
E00000109,12.75,55,54,11.51,62,0.00,0
E00000110,12.72,54,53,11.63,63,0.00,0
E00000111,12.54,54,55,11.83,64,0.00,0
E00000112,12.62,54,55,11.50,63,0.00,0
E00000113,12.62,54,57,11.91,65,0.00,0
E00000114,12.40,52,60,11.68,64,0.00,0
E00000115,12.63,55,58,11.64,63,0.00,0
E00000116,12.32,51,60,11.65,63,0.00,0
E00000117,12.57,54,59,11.58,63,0.00,0
E00000118,12.32,52,57,11.37,62,0.00,0
E00000119,12.25,52,59,11.59,63,0.00,0
E00000120,12.32,52,61,11.57,63,0.00,0
E00000121,12.22,52,61,11.58,63,0.00,0
E00000122,12.18,51,60,11.53,63,0.00,0
E00000123,12.11,50,57,11.78,64,0.00,0
E00000124,12.36,52,59,11.76,64,0.00,0
E00000125,12.32,51,61,11.40,62,0.00,0
E00000126,12.07,50,59,11.24,61,0.00,0
E00000127,12.07,51,62,11.49,63,0.00,0
E00000128,12.13,50,59,11.81,64,0.00,0
E00000129,11.93,49,62,11.62,63,0.00,0
E00000130,11.94,49,60,11.92,64,0.00,0
E00000131,11.90,49,64,11.72,64,0.00,0
E00000132,12.01,49,61,11.73,63,0.00,0
E00000133,11.87,48,59,11.92,65,0.00,0
E00000134,11.86,48,59,11.83,64,0.00,0
E00000135,20.27,57,56,12.28,67,0.00,0
E00000136,20.30,57,54,12.19,66,0.00,0
E00000137,19.91,52,64,12.65,69,0.00,0
E00000138,19.84,54,56,12.94,70,0.00,0
E00000139,19.97,54,60,13.09,71,0.00,0
E00000140,20.01,54,63,12.89,70,0.00,0
E00000141,19.79,54,56,12.89,70,0.00,0
E00000142,19.93,55,58,13.03,71,0.00,0
E00000143,20.20,56,63,12.65,69,0.00,0
E00000144,20.04,56,56,12.50,67,0.00,0
E00000145,20.64,61,58,12.27,67,0.00,0
E00000146,20.31,58,56,12.47,68,0.00,0
E00000147,20.07,56,57,12.43,67,0.00,0
E00000148,20.58,59,57,12.21,66,0.00,0
E00000149,20.16,56,54,12.32,67,0.00,0
E00000150,20.35,58,55,12.32,66,0.00,0
E00000151,20.18,56,51,12.33,67,0.00,0
E00000152,20.68,59,53,12.14,66,0.00,0
E00000153,20.53,59,53,12.18,66,0.00,0
E00000154,14.43,59,47,11.82,64,0.00,0
E00000155,20.65,58,51,12.11,65,0.00,0
E00000156,19.54,52,62,13.14,72,0.00,0
E00000157,19.51,52,61,13.12,71,0.00,0
E00000158,19.54,51,59,12.88,70,0.00,0
E00000159,19.84,54,57,12.95,71,0.00,0
E00000160,19.60,51,59,12.94,70,0.00,0
E00000161,19.82,52,63,12.71,69,0.00,0
E00000162,20.06,54,65,12.95,70,0.00,0
E00000163,19.98,54,59,13.02,71,0.00,0
E00000164,19.81,53,60,12.85,70,0.00,0
E00000165,20.05,54,62,12.94,70,0.00,0
E00000166,20.01,53,64,12.89,70,0.00,0
E00000167,13.98,60,54,13.81,75,0.00,0
E00000168,14.41,61,65,13.58,73,0.00,0
E00000169,14.36,61,66,13.53,73,0.00,0
E00000170,14.57,62,67,13.74,74,0.00,0
E00000171,14.56,63,64,13.72,74,0.00,0
E00000172,14.23,60,63,13.39,73,0.00,0
E00000173,14.38,60,58,13.50,73,0.00,0
E00000174,13.86,60,55,13.10,74,0.00,0
E00000175,13.94,61,53,13.68,74,0.00,0
E00000176,14.02,62,55,13.86,76,0.00,0
E00000177,13.78,60,51,13.25,75,0.00,0
E00000178,13.84,60,50,13.09,73,0.00,0
E00000179,13.94,60,53,13.17,74,0.00,0
E00000180,13.85,60,52,13.10,74,0.00,0
E00000181,15.04,65,58,14.20,76,0.00,0
E00000182,14.49,61,64,13.66,74,0.00,0
E00000183,14.61,61,57,13.78,74,0.00,0
E00000184,15.04,65,58,14.21,77,0.00,0
E00000185,15.04,65,58,14.20,77,0.00,0
E00000186,14.47,61,60,13.63,74,0.00,0
E00000187,14.67,63,68,13.84,75,0.00,0
E00000188,14.54,62,62,13.70,74,0.00,0
E00000189,14.88,64,61,14.04,76,0.00,0
E00000190,14.66,62,60,13.83,75,0.00,0
E00000191,14.97,65,66,14.13,76,0.00,0
E00000192,15.39,69,78,0.00,0,0.00,0
E00000193,15.12,66,69,14.28,77,0.00,0
E00000194,15.11,67,68,14.27,78,0.00,0
E00000195,14.95,65,65,14.12,76,0.00,0
E00000196,15.20,67,78,0.00,0,0.00,0
E00000197,15.27,68,78,0.00,0,0.00,0
E00000198,14.62,63,67,13.79,74,0.00,0
E00000199,10.67,43,54,10.61,61,0.00,0
E00000200,10.88,43,55,10.76,61,0.00,0
E00000201,10.67,43,49,9.52,57,0.00,0
E00000202,11.04,45,54,10.96,62,0.00,0
E00000203,11.23,47,53,11.08,63,0.00,0
E00000204,11.18,46,53,11.03,63,0.00,0
E00000205,11.38,48,53,10.66,62,0.00,0
E00000206,11.06,45,47,10.33,60,0.00,0
E00000207,10.91,44,54,10.82,61,0.00,0
E00000208,11.11,46,54,10.93,62,0.00,0
E00000209,11.02,45,55,10.87,62,0.00,0
E00000210,11.35,47,52,10.63,62,0.00,0
E00000211,10.98,45,43,10.26,60,0.00,0
E00000212,10.86,44,45,10.13,59,0.00,0
E00000213,11.12,45,46,10.00,58,0.00,0
E00000214,11.12,46,53,10.94,62,0.00,0
E00000215,10.94,44,56,10.75,61,0.00,0
E00000216,10.94,44,45,10.03,58,0.00,0
E00000217,10.79,43,54,10.72,61,0.00,0
E00000218,11.00,44,48,9.87,58,0.00,0
E00000219,11.04,45,57,10.84,62,0.00,0
E00000220,11.15,46,48,10.01,58,0.00,0
E00000221,11.16,46,56,10.89,62,0.00,0
E00000222,11.00,45,47,9.87,58,0.00,0
E00000223,10.87,43,51,9.74,57,0.00,0
E00000224,10.86,44,57,10.67,61,0.00,0
E00000225,10.98,44,49,9.85,57,0.00,0
E00000226,10.63,43,53,10.58,61,0.00,0
E00000227,10.93,44,48,10.03,58,0.00,0
E00000228,10.93,44,52,9.80,57,0.00,0
E00000229,10.95,44,51,9.81,57,0.00,0
E00000230,11.12,45,51,10.00,59,0.00,0
E00000231,11.15,45,51,10.04,59,0.00,0
E00000232,11.04,45,50,10.07,59,0.00,0
E00000234,9.88,40,56,9.67,56,0.00,0
E00000235,10.74,43,53,9.60,57,0.00,0
