OA11CD,Ave_rent_1_bedroom,Ave_rent_2_bedroom,Ave_rent_3_bedroom,Ave_rent_4_bedroom
E00009198,772,958,1228,1544
E00008723,1138,1412,1810,2275
E00008823,687,853,1094,1375
E00008705,1576,1957,2509,3153
E00008784,845,1049,1345,1690
E00008778,809,1005,1288,1619
E00009175,1650,2049,2626,3300
E00009212,931,1156,1482,1862
E00008812,1316,1634,2095,2633
E00176311,2080,2582,3310,4160
E00008893,879,1091,1399,1758
E00176253,2015,2502,3207,4030
E00009167,1398,1735,2224,2795
E00008810,1365,1695,2172,2730
E00008891,861,1069,1371,1723
E00009069,1235,1533,1966,2470
E00008603,796,989,1267,1593
E00176571,765,949,1063,1316
E00007921,1204,1494,1673,2071
E00008478,957,1186,1329,1645
E00008381,846,1049,1175,1454
E00008300,1469,1822,2041,2526
E00176523,1076,1335,1495,1850
E00007862,4784,5932,6644,8224
E00176545,659,818,916,1134
E00176503,1187,1472,1649,2041
E00008089,854,1059,1186,1469
E00176555,888,1102,1234,1527
E00008154,1640,2034,2278,2820
E00008008,854,1059,1186,1468
E00008288,837,1038,1163,1439
E00008209,803,996,1115,1381
E00008436,572,710,795,984
E00008291,682,845,947,1172
E00008210,752,932,1044,1292
E00008484,800,992,1111,1375
E00176496,1163,1442,1615,1999
E00165792,908,1126,1261,1561
E00008053,1871,2320,2598,3216
E00007959,1325,1643,1840,2278
E00007811,663,822,921,1140
E00176591,1169,1450,1624,2011
E00176593,683,847,949,1175
E00008475,436,540,605,749
E00008252,649,805,902,1116
E00007997,902,1119,1253,1551
E00008531,619,768,860,1065
E00176542,786,975,1092,1351
E00007837,888,1102,1234,1527
E00008321,639,792,887,1099
E00008402,1128,1398,1566,1939
E00008483,735,911,1020,1263
E00008527,700,869,973,1204
E00008235,1219,1512,1693,2096
E00007835,639,792,887,1099
E00008264,4762,5906,6615,8188
E00007919,1111,1377,1542,1909
E00007998,1008,1250,1400,1733
E00007991,1452,1801,2017,2497
E00007882,1350,1674,1875,2320
E00008309,1555,1928,2159,2673
E00008388,846,1049,1175,1454
E00008232,1239,1536,1720,2130
E00008466,475,589,660,817
E00008346,615,763,854,1057
E00008237,1298,1610,1803,2232
E00176563,598,742,831,1028
E00007902,2383,2956,3310,4098
E00007983,2904,3602,4034,4993
E00008520,700,869,973,1204
E00007926,1524,1890,2117,2621
E00008191,621,771,863,1068
E00008110,632,784,878,1087
E00008201,1384,1716,1922,2379
E00008280,1657,2055,2302,2849
E00008445,953,1182,1324,1639
E00007920,1281,1589,1780,2203
E00007879,950,1178,1319,1633
E00007894,1538,1908,2137,2645
E00007815,434,538,603,746
E00007861,3077,3816,4274,5290
E00008255,609,755,846,1047
E00007824,677,839,940,1163
E00008072,608,754,845,1046
E00008142,606,752,842,1043
E00007846,1394,1729,1936,2397
E00008046,953,1182,1324,1639
E00176484,1418,1758,1969,2438
E00007863,1047,1299,1455,1801
E00008202,1156,1433,1605,1987
E00008283,1232,1528,1711,2118
E00008397,854,1059,1186,1469
E00008316,772,958,1073,1328
E00008459,577,715,801,991
E00176579,1948,2415,2705,3349
E00008169,2625,3255,3646,4513
E00008350,609,755,846,1047
E00008199,854,1059,1186,1469
E00008118,854,1059,1186,1469
E00007935,1257,1559,1746,2162
E00176494,1213,1504,1685,2085
E00008254,587,728,815,1009
E00008356,767,951,1065,1319
E00008194,854,1059,1186,1469
E00008115,844,1047,1172,1451
E00008379,1017,1261,1412,1748
E00176566,1640,2034,2278,2820
E00007952,1270,1575,1765,2184
E00008226,1316,1631,1827,2262
E00008256,607,752,842,1043
E00176588,940,1165,1305,1616
E00008368,948,1176,1317,1630
E00008183,910,1128,1264,1564
E00008102,803,996,1115,1381
E00008536,1458,1808,2025,2507
E00008365,1150,1426,1597,1977
E00176577,854,1059,1186,1469
E00008068,762,945,1058,1310
E00008320,798,989,1108,1372
E00176519,1377,1708,1913,2367
E00008511,555,689,771,955
E00008376,1167,1447,1621,2006
E00008153,905,1123,1258,1557
E00007956,888,1102,1234,1527
E00008129,598,742,831,1028
E00008217,923,1144,1281,1586
E00008296,2016,2500,2800,3466
E00008462,533,661,740,916
E00008502,581,720,807,999
E00008297,1222,1515,1697,2100
E00008216,1162,1441,1614,1997
E00008165,1777,2203,2468,3055
E00008396,849,1053,1179,1460
E00176583,1123,1393,1560,1931
E00007804,820,1017,1139,1410
E00007885,1256,1557,1744,2159
E00008513,444,551,617,764
E00007855,575,713,798,988
E00008268,993,1231,1379,1707
E00007930,1017,1261,1412,1748
E00007964,1264,1568,1756,2174
E00007832,410,508,569,705
E00008457,782,969,1086,1344
E00008144,540,669,750,928
E00008293,1180,1463,1639,2029
E00008212,957,1186,1329,1645
E00008207,888,1102,1234,1527
E00008286,1177,1460,1635,2024
E00176506,829,1028,1151,1425
E00176544,921,1142,1279,1583
E00008038,1350,1674,1875,2320
E00008516,581,720,807,999
E00007795,864,1072,1201,1486
